company,school_1,alumnicount_1,school_2,alumnicount_2,school_3,alumnicount_3,school_4,alumnicount_4,school_5,alumnicount_5,school_6,alumnicount_6,school_7,alumnicount_7,school_8,alumnicount_8,school_9,alumnicount_9,school_10,alumnicount_10,school_11,alumnicount_11,school_12,alumnicount_12,school_13,alumnicount_13,school_14,alumnicount_14,school_15,alumnicount_15,id
Synchrony Financial,osmania university,312,university of phoenix,178,wright state university,136,sinclair community college,119,university of illinois urbana-champaign,116,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,245
Host Hotels & Resorts,university of maryland,18,university of maryland global campus,16,cornell university,10,penn state university,6,virginia tech,4,university of maryland - robert h. smith school of business,4,american university - kogod school of business,4,george mason university,4,georgetown university mcdonough school of business,3,virginia tech - pamplin college of business,3,yale university,3,montgomery college,3,university of notre dame,3,new york university,3,the george washington university,3,246
Howmet Aerospace,muskegon community college,69,purdue university,57,midwestern state university,51,michigan technological university,50,grand valley state university,42,penn state university,42,university of phoenix,41,instituto tecnológico superior de ciudad acuña,37,universidad autónoma de nuevo león,35,youngstown state university,34,cleveland state university,32,michigan state university,28,"california state university, long beach",27,western michigan university,24,old dominion university,23,247
HP Inc.,bangalore university,889,universidad de guadalajara,819,universitat politècnica de catalunya,713,tecnológico de monterrey,572,visvesvaraya technological university,519,university of houston,426,ben-gurion university of the negev,341,the university of texas at austin,338,texas a&m university,334,the institute of chartered accountants of india,280,delhi university,274,stanford university,261,universitat de barcelona,254,esade,213,stanford university graduate school of business,177,248
Hubbell Incorporated,southern new hampshire university,60,clemson university,51,university of connecticut,46,university of missouri-columbia,44,anna university chennai,41,university of alabama at birmingham,40,university of phoenix,36,penn state university,36,auburn university,31,instituto tecnológico de ciudad juárez,30,university of new haven,30,missouri university of science and technology,27,university of new hampshire,23,the university of alabama,20,university of south carolina upstate,14,249
Humana,university of louisville,1871,university of kentucky,669,university of phoenix,560,indiana university southeast,508,sullivan university,472,bellarmine university,373,western kentucky university,351,western governors university,308,indiana wesleyan university,297,university of south florida,269,florida international university,262,indiana university bloomington,220,purdue university,165,cornell university,151,the ohio state university,149,250
Huntington Bancshares,the ohio state university,924,ohio university,371,franklin university,359,kent state university,302,columbus state community college,293,miami university,233,the university of akron,211,the ohio state university fisher college of business,207,bowling green state university,203,university of phoenix,160,michigan state university,158,western governors university,156,the university of toledo,140,cleveland state university,128,grand valley state university,124,251
Huntington Ingalls Industries,old dominion university,313,thomas nelson community college,165,tidewater community college,126,mississippi gulf coast community college,115,strayer university,99,saint leo university,91,the university of southern mississippi,81,virginia tech,77,christopher newport university,77,community college of the air force,76,ecpi university,73,university of maryland global campus,54,liberty university,54,norfolk state university,51,university of phoenix,46,252
IBM,visvesvaraya technological university,1942,savitribai phule pune university,1595,bangalore university,1511,kendriya vidyalaya,1265,university of mumbai,1242,delhi university,1151,university of madras,1048,the university of texas at austin,1008,"birla institute of technology and science, pilani",939,fgv - fundação getulio vargas,765,cornell university,531,massachusetts institute of technology,465,harvard business school,454,harvard university,361,insead,250,253
IDEX Corporation,university of northern iowa,44,the maharaja sayajirao university of baroda,32,iowa state university,30,hawkeye community college,16,purdue university,13,depaul university,13,northern illinois university,12,university of illinois urbana-champaign,10,university of iowa,10,university of nebraska-lincoln,10,michigan state university,9,kth royal institute of technology,9,oklahoma state university,9,penn state university,8,gujarat university,7,254
Idexx Laboratories,university of maine,319,university of southern maine,305,northeastern university,73,university of new hampshire,71,southern new hampshire university,65,southern maine community college,64,husson university,47,the university of auckland,44,chippewa valley technical college,41,colorado state university,39,university of new england,39,texas a&m university,39,university of illinois urbana-champaign,36,"university of california, davis",36,university of vermont,31,255
Illinois Tool Works,university of illinois urbana-champaign,77,northern illinois university,47,depaul university,46,university of illinois chicago,45,purdue university,37,tecnológico de monterrey,35,northwestern university,32,northwestern university - kellogg school of management,28,university of phoenix,26,loyola university chicago,25,illinois institute of technology,23,oakland university,21,university of dayton,17,miami university,14,chippewa valley technical college,13,256
Incyte,university of delaware,122,penn state university,56,university of pennsylvania,45,villanova university,38,west chester university of pennsylvania,38,temple university,38,rutgers university,33,university of geneva,28,university of the sciences in philadelphia,27,saint joseph's university,26,drexel university,26,epfl,25,university of pittsburgh,23,university of lausanne - unil,17,université claude bernard lyon 1,14,257
Synopsys,"birla institute of technology and science, pilani",275,san josé state university,191,yerevan state university,179,visvesvaraya technological university,173,faculdade de engenharia da universidade do porto,171,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,258
Sysco,sliit,263,university of houston,220,university of moratuwa,186,texas a&m university,160,johnson & wales university,153,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,259
Insulet Corporation,northeastern university,118,university of massachusetts lowell,86,worcester polytechnic institute,59,universidad autónoma de baja california,49,university of massachusetts amherst,48,tecnológico de monterrey,48,southern new hampshire university,42,cetys universidad,40,boston university,32,uc san diego,27,penn state university,26,universidad de guadalajara,26,university of new hampshire,19,middlesex community college,19,bentley university,17,260
Intel,arizona state university,2798,technion - israel institute of technology,2050,portland state university,1778,ben-gurion university of the negev,1194,tel aviv university,949,vellore institute of technology,873,visvesvaraya technological university,838,san josé state university,761,"birla institute of technology and science, pilani",741,georgia institute of technology,701,"university of california, berkeley",692,purdue university,674,university of southern california,658,the university of texas at austin,642,stanford university,509,261
Intercontinental Exchange,osmania university,89,georgia institute of technology,81,georgia state university,63,new york university,61,university of north florida,57,kennesaw state university,54,jawaharlal nehru technological university,53,sri venkateswara university,45,baruch college,45,savitribai phule pune university,39,florida state university,38,the university of georgia,35,northeastern university,33,university of mumbai,32,andhra university,32,262
International Flavors & Fragrances,isipca,156,universidad de oviedo,152,rutgers university,150,fgv - fundação getulio vargas,112,aarhus university,109,universidad nacional autónoma de méxico,88,usp - universidade de são paulo,86,insead,75,university of buenos aires,65,pós graduação - faculdades oswaldo cruz,63,university of wisconsin-madison,61,tecnológico de monterrey,60,university of delaware,57,penn state university,56,universidade estadual de campinas,54,263
International Paper,university of memphis,469,mississippi state university,289,"university of tennessee, knoxville",131,auburn university,125,north carolina state university,120,university of phoenix,112,university of mississippi,108,krakow university of economics,101,christian brothers university,101,georgia institute of technology,95,louisiana state university,85,the university of alabama,84,louisiana tech university,82,university of south carolina,61,northwestern state university,59,264
Interpublic Group of Companies (The),university of central arkansas,478,university of arkansas at little rock,147,university of arkansas,138,arkansas tech university,100,virginia commonwealth university,85,university of nebraska at omaha,84,university of minnesota,80,michigan state university,80,new york university,77,baruch college,70,university of buenos aires,65,syracuse university,48,the university of texas at austin,47,boston university,47,arkansas state university,45,265
Intuit,uc san diego,366,san diego state university,314,san josé state university,303,"university of california, berkeley",254,university of phoenix,229,university of arizona,169,stanford university,164,ucla,134,university of southern california,134,"birla institute of technology and science, pilani",134,visvesvaraya technological university,131,university of mumbai,130,northeastern university,119,georgia institute of technology,108,university of toronto,97,266
Intuitive Surgical,san josé state university,492,universidad autónoma de baja california,221,"university of california, berkeley",190,stanford university,182,california polytechnic state university-san luis obispo,155,santa clara university,150,cetys universidad,139,"university of california, davis",138,georgia institute of technology,114,uc san diego,106,ucla,95,de anza college,87,university of southern california,84,arizona state university,69,california state university - east bay,62,267
Invesco,university of houston,160,osmania university,98,the university of texas at austin,93,texas a&m university,78,georgia institute of technology,54,georgia state university,49,"university of houston, c.t. bauer college of business",42,jawaharlal nehru technological university,42,university of georgia - terry college of business,38,university of houston-downtown,38,nyu stern school of business,37,new york university,33,cornell university,32,andhra university,28,kennesaw state university,24,268
Invitation Homes,arizona state university,26,university of phoenix,21,the university of texas at dallas,16,university of north texas,16,texas a&m university,12,university of central florida,9,the university of texas at arlington,9,east texas a&m university,9,university of arizona,8,university of arkansas,8,grand canyon university,7,tarrant county college,7,kennesaw state university,7,florida state university,6,university of oklahoma,6,269
IQVIA,university of mumbai,661,university of buenos aires,659,rajiv gandhi university of health sciences,506,savitribai phule pune university,396,bangalore university,380,visvesvaraya technological university,368,north carolina state university,342,university of north carolina at chapel hill,316,ucl,271,kendriya vidyalaya,256,delhi university,178,"birla institute of technology and science, pilani",153,vellore institute of technology,149,svkm's narsee monjee institute of management studies (nmims),125,the london school of economics and political science (lse),101,270
Iron Mountain,universidade paulista,112,anhanguera educacional,107,uninove - universidade nove de julho,106,babes-bolyai university,101,servicio nacional de aprendizaje (sena),96,estácio,77,bangalore university,70,university of phoenix,59,penn state university,59,fgv - fundação getulio vargas,51,university of mumbai,46,northeastern university,46,senai são paulo,40,visvesvaraya technological university,38,anadolu university,34,271
T-Mobile US,university of phoenix,1008,university of washington,963,colorado technical university,701,ashford university,653,the university of arizona global campus,588,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,272
J.B. Hunt,university of arkansas,1215,northwest arkansas community college,294,arkansas tech university,146,university of phoenix,111,university of central arkansas,108,john brown university,96,university of arkansas - fort smith,85,georgia southern university,66,arkansas state university,64,penn state university,63,oklahoma state university,60,university of north texas,59,auburn university,58,"university of tennessee, knoxville",55,harding university,47,273
Jabil,universidad de guadalajara,1067,universidad tecmilenio,380,universidad autónoma de chihuahua,301,centro de enseñanza técnica industrial,266,tecnológico de monterrey,236,university of south florida,220,universiti sains malaysia,213,universidad del valle de méxico,185,university of miskolc,182,savitribai phule pune university,172,universidad del valle de atemajac,161,instituto tecnológico de chihuahua,160,iteso universidad jesuita de guadalajara,144,universiti utara malaysia,134,puc minas,111,274
Jack Henry & Associates,missouri state university,415,missouri southern state university,158,ozarks technical community college,156,university of phoenix,100,western governors university,83,drury university,79,crowder college,66,san diego state university,57,university of northern iowa,40,university of missouri-columbia,39,university of north texas,37,evangel university,35,university of alabama at birmingham,32,university of arkansas,31,university of missouri-kansas city,27,275
Jacobs Solutions,politechnika krakowska im. tadeusza kościuszki,466,agh university of krakow,428,texas a&m university,375,university of leeds,336,the university of manchester,262,georgia institute of technology,260,university of mumbai,257,penn state university,249,university of birmingham,228,the university of texas at austin,224,purdue university,223,unsw,196,university of illinois urbana-champaign,192,university college dublin,153,nicmar university,92,276
Johnson & Johnson,rutgers university,1283,penn state university,848,ku leuven,729,fgv - fundação getulio vargas,475,drexel university,375,rutgers business school,368,villanova university,349,university of mumbai,285,stevens institute of technology,278,usp - universidade de são paulo,272,national university of singapore,271,university of pennsylvania,255,cornell university,252,the wharton school,173,harvard business school,123,277
Johnson Controls,universidad autónoma de nuevo león,768,savitribai phule pune university,609,university of wisconsin-milwaukee,311,tecnológico de monterrey,290,delhi university,273,universidad tecmilenio,264,university of phoenix,243,university of mumbai,192,penn state university,180,marquette university,174,the institute of chartered accountants of india,158,university of wisconsin-madison,143,university college cork,108,texas a&m university,101,visvesvaraya technological university,99,278
JPMorgan Chase,university of mumbai,3922,the institute of chartered accountants of india,1641,new york university,1482,cornell university,1286,the london school of economics and political science (lse),1164,columbia university,1112,nyu stern school of business,1056,"birla institute of technology and science, pilani",971,kendriya vidyalaya,800,the wharton school,750,svkm's narsee monjee institute of management studies (nmims),692,delhi university,642,vellore institute of technology,531,università bocconi,423,thapar institute of engineering & technology,302,279
Juniper Networks,san josé state university,260,visvesvaraya technological university,209,"birla institute of technology and science, pilani",145,university of mumbai,122,bangalore university,115,anna university chennai,106,jawaharlal nehru technological university,102,"university of california, berkeley",94,university of southern california,72,manipal institute of technology,70,santa clara university,68,stanford university,68,northeastern university,68,university of madras,59,kle technological university - hubballi (india),54,280
Kellanova,tecnológico de monterrey,263,michigan state university,127,western michigan university,117,academia de studii economice din bucurești,76,western michigan university - haworth college of business,76,fgv - fundação getulio vargas,63,unopar - universidade norte do paraná,59,universidad anáhuac querétaro,57,grand valley state university,54,universidad autónoma de querétaro,51,federal university of technology - parana,49,escuela bancaria y comercial,47,unochapecó - universidade comunitária da região de chapecó,46,kellogg community college,42,central michigan university,35,281
Kenvue,fgv - fundação getulio vargas,265,rutgers university,243,usp - universidade de são paulo,229,penn state university,205,universidade paulista,158,rutgers business school,110,anhanguera educacional,101,university of mumbai,97,sapienza università di roma,97,universidad icesi,93,universidade do vale do paraíba,85,the college of new jersey,83,espm escola superior de propaganda e marketing,81,universidade estadual paulista júlio de mesquita filho,74,universidade estadual de campinas,69,282
Keurig Dr Pepper,university of north texas,96,university of phoenix,93,the university of texas at dallas,83,texas a&m university,73,champlain college,57,the university of texas at austin,56,northeastern university,53,university of vermont,53,the university of texas at arlington,47,university of arkansas,46,"university of tennessee, knoxville",41,southern methodist university,39,penn state university,37,collin college,36,university of massachusetts lowell,36,283
KeyCorp,cleveland state university,494,kent state university,314,baldwin wallace university,267,cuyahoga community college,259,the ohio state university,225,the university of akron,220,university at buffalo,203,bowling green state university,191,miami university,177,john carroll university,163,ohio university,162,buffalo state university,119,the university of toledo,116,weatherhead school of management at case western reserve university,113,case western reserve university,94,284
T. Rowe Price,towson university,504,university of maryland,323,university of maryland baltimore county,308,loyola university maryland,281,university of maryland global campus,162,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,285
Keysight Technologies,universiti sains malaysia,190,university politehnica of bucharest,162,santa rosa junior college,146,california polytechnic state university-san luis obispo,134,delhi university,131,"university of california, davis",127,sonoma state university,126,colorado state university,110,universidad de málaga,98,the institute of chartered accountants of india,97,university of colorado colorado springs,87,university of colorado boulder,82,stanford university,78,universiti teknologi malaysia,78,georgia institute of technology,74,286
Kimberly-Clark,university of wisconsin–oshkosh,316,university of wisconsin-madison,250,universidade de mogi das cruzes,216,"university of tennessee, knoxville",146,fgv - fundação getulio vargas,145,centro universitário braz cubas,142,michigan technological university,135,universidad de costa rica ucr,132,senai são paulo,118,georgia institute of technology,118,jagiellonian university,109,university of buenos aires,108,purdue university,93,universidad de lima,90,tecnológico de costa rica,79,287
Kimco Realty,queens college,16,nassau community college,12,baruch college,11,university of north carolina at charlotte,10,university of florida,10,hofstra university,9,university of houston,9,university of phoenix,9,miami dade college,7,new york university,7,university of north carolina at chapel hill,7,stony brook university,7,towson university,6,adelphi university,6,university of maryland,6,288
Kinder Morgan,texas a&m university,231,university of houston,224,university of houston-downtown,98,the university of texas at austin,87,louisiana state university,83,san jacinto college,81,sam houston state university,81,houston community college,63,university of phoenix,59,texas tech university,57,university of houston-clear lake,52,"university of houston, c.t. bauer college of business",50,lamar university,44,texas state university,38,the university of alabama,29,289
KKR,cornell university,124,the wharton school,98,the london school of economics and political science (lse),91,harvard business school,81,university of pennsylvania,60,harvard university,59,columbia university,59,dublin city university,58,stanford university,52,new york university,50,university college dublin,50,nyu stern school of business,48,the institute of chartered accountants of india,45,university of oxford,43,"university of california, berkeley",39,290
KLA Corporation,san josé state university,328,technion - israel institute of technology,284,ben-gurion university of the negev,197,national cheng kung university,190,tel aviv university,162,national taiwan university,146,nanyang technological university singapore,145,national university of singapore,143,national tsing hua university,125,stanford university,124,university of michigan,116,braude academic college,103,"university of california, berkeley",99,anna university chennai,81,"indian institute of technology, madras",73,291
Kraft Heinz,university of illinois urbana-champaign,208,michigan state university,152,fgv - fundação getulio vargas,112,penn state university,104,university of wisconsin-madison,102,tecnológico de monterrey,96,wageningen university & research,86,purdue university,78,northwestern university - kellogg school of management,77,indiana university bloomington,71,depaul university,71,northwestern university,63,universidad de guadalajara,60,university of arkansas,59,northern illinois university,50,292
Kroger,university of cincinnati,1241,northern kentucky university,651,the ohio state university,641,university of phoenix,551,university of kentucky,439,miami university,432,ohio university,326,purdue university,292,oregon state university,271,xavier university,260,cincinnati state technical and community college,249,wright state university,245,indiana university bloomington,231,university of cincinnati carl h. lindner college of business,230,university of dayton,135,293
L3Harris,rochester institute of technology,766,university of central florida,752,florida institute of technology,546,university of florida,518,community college of the air force,495,embry-riddle aeronautical university,437,eastern florida state college,378,east texas a&m university,371,stevens institute of technology,345,university of phoenix,337,university of utah,334,georgia institute of technology,311,purdue university,292,texas a&m university,280,penn state university,229,294
LabCorp,arizona state university,321,university of north carolina at greensboro,300,north carolina state university,243,university of phoenix,240,university of wisconsin-madison,214,purdue university,201,university of north carolina at chapel hill,199,indiana university indianapolis,175,indiana university bloomington,134,university of leeds,130,savitribai phule pune university,115,michigan state university,112,rutgers university,111,bangalore university,90,rajiv gandhi university of health sciences,79,295
Lam Research,san josé state university,397,"university of california, berkeley",255,portland state university,197,oregon state university,188,visvesvaraya technological university,133,stanford university,126,portland community college,117,national cheng kung university,116,university of phoenix,113,ucla,107,"university of california, davis",104,california polytechnic state university-san luis obispo,102,national taiwan university,102,university of illinois urbana-champaign,96,nanyang technological university singapore,92,296
Lamb Weston,washington state university,117,columbia basin college,94,boise state university,84,university of idaho,79,idaho state university,57,eastern washington university,41,central washington university,35,universidad nacional de mar del plata,33,western governors university,30,brigham young university,27,university of phoenix,24,college of southern idaho,23,eastern oregon university,22,university of washington,21,perry technical institute,15,297
NRG Energy,utah valley university,550,brigham young university,428,brigham young university - idaho,190,university of houston,184,utah state university,177,university of utah,173,texas a&m university,132,salt lake community college,89,the university of texas at austin,85,weber state university,78,university of phoenix,78,university of houston-downtown,78,penn state university,77,southern utah university,67,the university of arizona global campus,63,298
Las Vegas Sands,university of nevada-las vegas,56,college of southern nevada,26,university of phoenix,11,university of southern california,11,western governors university,8,unlv lee business school,7,"university of nevada, reno",7,the art institutes,6,arizona state university,5,colorado state university,4,university of wisconsin-stout,4,cornell university,4,community college of the air force,4,georgetown university,4,"california state university, long beach",4,299
Leidos,university of maryland global campus,915,community college of the air force,669,george mason university,585,university of maryland,571,university of phoenix,492,western governors university,475,virginia tech,465,the university of alabama in huntsville,406,the george washington university,338,penn state university,325,american military university,321,university of maryland baltimore county,274,northern virginia community college,266,georgia institute of technology,248,university of virginia,217,300
Lennar,florida international university,190,miami dade college,106,university of phoenix,78,university of florida,77,arizona state university,73,texas a&m university,67,texas state university,57,university of central florida,55,university of miami,53,university of south florida,53,florida state university,49,florida atlantic university,46,florida international university - college of business,43,nova southeastern university,41,the university of texas at austin,40,301
Lennox International,the university of texas at dallas,151,university of north texas,87,anna university chennai,76,texas a&m university,62,university of phoenix,54,university of madras,48,15094820,47,"naveen jindal school of management, ut dallas",43,iowa state university,39,the university of texas at arlington,39,collin college,37,universidad autónoma de coahuila,32,the university of texas at austin,29,universidad americana del noreste,28,university of arkansas,23,302
Lilly (Eli),purdue university,1850,indiana university bloomington,1175,indiana university indianapolis,1019,university college cork,970,munster technological university,805,indiana university - kelley school of business,503,ball state university,487,università degli studi di firenze,381,butler university,372,university of limerick,304,university of illinois urbana-champaign,240,university of michigan,222,the ohio state university,215,michigan state university,213,usp - universidade de são paulo,157,303
Linde plc,technical university of munich,254,university at buffalo,254,the maharaja sayajirao university of baroda,107,university of south africa/universiteit van suid-afrika,93,tecnológico de monterrey,91,technische universität dresden,82,penn state university,75,baden-wuerttemberg cooperative state university (dhbw),74,hochschule münchen university of applied sciences,74,ludwig-maximilians-universität münchen,65,west university of timisoara,63,university of buenos aires,62,fau erlangen-nürnberg,52,fgv - fundação getulio vargas,43,gujarat university,35,304
Live Nation Entertainment,university of southern california,152,ucla,146,full sail university,142,berklee college of music,136,arizona state university,127,columbia college chicago,124,"california state university, northridge",104,"california state university, fullerton",96,belmont university,92,temple university,91,new york university,90,san diego state university,88,northeastern university,62,"california state university, long beach",60,drexel university,56,305
LKQ Corporation,middle tennessee state university (mtsu),61,university of phoenix,34,universidad autónoma de nuevo león,18,visvesvaraya technological university,15,tennessee state university,14,northern illinois university,10,the ohio state university,9,indiana university bloomington,9,nashville state community college,9,depaul university,8,kent state university,8,"universal technical institute, inc.",8,devry university,7,penn state university,6,vanderbilt university,6,306
Lockheed Martin,university of central florida,3179,embry-riddle aeronautical university,2490,penn state university,1863,the university of texas at arlington,1702,texas a&m university,1699,community college of the air force,1663,georgia institute of technology,1392,university of florida,1192,university of colorado boulder,1115,southern methodist university,1084,drexel university,1057,florida institute of technology,876,purdue university,868,cornell university,665,the university of texas at austin,656,307
Loews Corporation,university of central florida,257,valencia college,242,university of illinois urbana-champaign,150,depaul university,135,illinois state university,98,university of illinois chicago,94,university of central florida – rosen college of hospitality management,75,university of phoenix,70,northern illinois university,69,florida international university,57,purdue university,56,penn state university,54,loyola university chicago,45,texas a&m university,43,temple university,39,308
Lowe's,university of north carolina at charlotte,668,university of phoenix,657,appalachian state university,518,southern new hampshire university,413,central piedmont community college,260,north carolina state university,257,east carolina university,248,penn state university,241,wilkes community college,227,university of north carolina at greensboro,203,university of north carolina at chapel hill,201,university of south carolina,190,cornell university,110,jawaharlal nehru technological university,103,unc kenan-flagler business school,94,309
Lululemon Athletica,the university of british columbia,619,simon fraser university,390,british columbia institute of technology,385,university of toronto,191,university of victoria,171,humber college,159,kwantlen polytechnic university,159,western university,156,ubc sauder school of business,155,queen's university,135,university of calgary,132,university of washington,132,langara college,132,ryerson university,117,mcgill university,114,310
Take-Two Interactive,baruch college,16,columbia university,14,new york university,10,simon fraser university,9,penn state university,8,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,311
LyondellBasell,university of houston,355,san jacinto college,309,texas a&m university,301,university of houston-clear lake,162,the university of texas at austin,162,lee college,133,mcneese state university,130,"university of houston, c.t. bauer college of business",129,lamar university,120,rotterdam university of applied sciences,89,university of houston-downtown,86,louisiana state university,82,university of illinois urbana-champaign,75,sowela technical community college,74,houston community college,71,312
M&T Bank,university at buffalo,1004,canisius university,560,buffalo state university,531,erie community college,399,"university at buffalo school of management, the state university of new york",272,niagara university,202,university of maryland,181,penn state university,178,state university of new york at fredonia,169,medaille university,149,rochester institute of technology,130,st. bonaventure university,128,suny geneseo,120,niagara county community college,119,university of delaware,110,313
Marathon Petroleum,bowling green state university,400,the university of findlay,368,the university of toledo,280,the ohio state university,208,texas a&m university,169,the university of texas at san antonio,164,louisiana state university,141,ohio northern university,129,tiffin university,125,owens community college,108,university of cincinnati,105,university of phoenix,99,university of kentucky,90,michigan state university,89,bismarck state college,81,314
MarketAxess,new york university,23,stony brook university,14,nyu stern school of business,12,cornell university,11,baruch college,11,stevens institute of technology,11,columbia university,10,northeastern university,10,the london school of economics and political science (lse),9,penn state university,8,ucl,8,the university of texas at austin,7,university of pennsylvania,7,rutgers university,7,university of delaware,7,315
Marriott International,cornell university,718,johnson & wales university,688,university of central florida,474,florida international university,424,indira gandhi national open university,382,university of maryland,371,penn state university,320,university of mumbai,272,delhi university,215,cairo university,208,les roches,166,ain shams university,160,wine & spirit education trust,147,ehl,132,hotelschool the hague,86,316
Marsh McLennan,delhi university,642,university of mumbai,528,chartered insurance institute,319,anziif,220,university college dublin,184,the london school of economics and political science (lse),159,institute and faculty of actuaries,157,university of exeter,144,tecnológico de monterrey,142,the institute of chartered accountants of india,140,university of leeds,139,university of nottingham,136,guru gobind singh indraprastha university,133,nyu stern school of business,112,fgv - fundação getulio vargas,88,317
Martin Marietta Materials,north carolina state university,69,missouri university of science and technology,32,texas a&m university,29,virginia tech,27,university of phoenix,27,colorado state university,24,east carolina university,23,wake technical community college,21,university of north carolina at chapel hill,18,university of kentucky,18,university of north texas,15,the university of texas at san antonio,14,west virginia university,13,texas state university,13,san diego state university,10,318
Masco,baden-wuerttemberg cooperative state university (dhbw),128,purdue university,91,offenburg university of applied sciences,65,"california state university, fullerton",61,university of phoenix,50,michigan state university,50,indiana university indianapolis,48,indiana university bloomington,46,eastern michigan university,44,hochschule furtwangen,41,uc irvine,41,university of la verne,40,indiana university - kelley school of business,38,university of michigan-dearborn,36,"california state university, long beach",29,319
Mastercard,savitribai phule pune university,660,university of mumbai,337,universidad de los andes,214,university college dublin,189,kendriya vidyalaya,188,the london school of economics and political science (lse),188,the institute of chartered accountants of india,174,delhi university,174,fgv - fundação getulio vargas,173,cornell university,164,"indian institute of management, calcutta",132,the wharton school,132,insead,126,"indian institute of technology, kharagpur",111,boğaziçi university,106,320
Match Group,university of southern california,47,"university of california, berkeley",46,the university of texas at dallas,40,new york university,36,university of north texas,29,ucla,27,the university of texas at austin,26,uc irvine,24,columbia university,20,cornell university,20,southern methodist university,16,"california state university, northridge",15,the wharton school,13,northeastern university,12,uc santa barbara,12,321
McCormick & Company,university of lodz,233,towson university,161,university of maryland,97,loyola university maryland,93,lodz university of technology,88,penn state university,66,fanshawe college,54,university of baltimore,49,szkoła główna gospodarstwa wiejskiego w warszawie,46,university of maryland baltimore county,41,western university,39,university of maryland global campus,38,community college of baltimore county,36,purdue university,34,università degli studi di firenze,34,322
McDonald's,colorado technical university,743,seneca polytechnic,621,conestoga college,472,the manchester metropolitan university,435,lambton college,301,university of illinois urbana-champaign,250,depaul university,243,northern illinois university,167,university of illinois chicago,166,university of nottingham,126,illinois state university,116,indiana university bloomington,105,northwestern university,90,northwestern university - kellogg school of management,78,university of wisconsin-madison,77,323
Nucor,purdue university,57,the university of alabama,55,university of south carolina,53,utah state university,52,northeast community college,47,purdue university fort wayne,45,missouri university of science and technology,43,university of phoenix,43,south dakota mines,43,arkansas state university,39,texas a&m university,39,florence-darlington technical college,37,western governors university,35,calhoun community college,33,athens state university,23,324
McKesson Corporation,university of phoenix,292,university of north texas,205,virginia commonwealth university,201,the university of texas at arlington,157,texas a&m university,129,arizona state university,122,the university of texas at dallas,119,western governors university,110,tarrant county college,101,the university of texas at austin,101,university of north florida,100,the ohio state university,99,james madison university,87,georgia institute of technology,79,university of houston,78,325
Medtronic,university of minnesota,2110,university of galway,781,university of st. thomas,677,arizona state university,518,university of minnesota - carlson school of management,506,university of wisconsin-madison,387,university of connecticut,304,northeastern university,263,university of southern california,262,georgia institute of technology,234,university of st. thomas - opus college of business,216,texas a&m university,201,fgv - fundação getulio vargas,142,university of mumbai,138,northwestern university - kellogg school of management,105,326
Merck & Co.,penn state university,1187,rutgers university,1071,temple university,816,drexel university,681,villanova university,466,lehigh university,416,university of pennsylvania,410,university of delaware,389,cornell university,361,new jersey institute of technology,358,north carolina state university,349,stevens institute of technology,283,university of north carolina at chapel hill,246,purdue university,236,the johns hopkins university,201,327
Meta Platforms,"university of california, berkeley",2233,stanford university,1860,carnegie mellon university,1686,university of washington,1529,georgia institute of technology,1433,university of southern california,1413,ucla,1278,university of illinois urbana-champaign,1122,columbia university,1054,cornell university,1021,new york university,983,san josé state university,905,harvard university,705,"birla institute of technology and science, pilani",444,delhi university,338,328
MetLife,delhi university,516,university of south florida,306,university of rajasthan,256,universidad nacional autónoma de méxico,241,rutgers university,195,universidad del valle de méxico,158,tecnológico de monterrey,146,ain shams university,143,north carolina state university,137,cairo university,136,pontificia universidad católica de chile,107,the institute of chartered accountants of india,105,institute and faculty of actuaries,94,cornell university,90,fgv - fundação getulio vargas,89,329
Mettler Toledo,the ohio state university,150,eth zürich,140,university of warsaw,121,university of mumbai,115,sgh warsaw school of economics,65,warsaw university of technology,58,mumbai university mumbai,52,instituto politécnico nacional,50,franklin university,48,university of zurich,47,the ohio state university fisher college of business,43,university of south florida,43,university of st.gallen,41,szkoła główna gospodarstwa wiejskiego w warszawie,34,hsr hochschule für technik rapperswil,31,330
MGM Resorts,university of nevada-las vegas,1182,college of southern nevada,655,university of phoenix,172,university of macau,157,mississippi gulf coast community college,149,atlantic cape community college,117,the university of southern mississippi,117,stockton university,114,"university of nevada, reno",78,unlv lee business school,66,western governors university,64,institute for tourism studies,60,wayne state university,60,the art institutes,58,johnson & wales university,49,331
Microchip Technology,arizona state university,491,san josé state university,149,university politehnica of bucharest,134,university of phoenix,94,"birla institute of technology and science, pilani",94,visvesvaraya technological university,93,vellore institute of technology,85,anna university chennai,81,the university of british columbia,81,technological university of the philippines,62,polytechnic university of the philippines,61,university of arizona,61,jawaharlal nehru technological university,59,mesa community college,56,devry university,51,332
