name,location,average_gpa,average_sat_composite,Average Salary 1yr,Average Salary 5yr,acceptance_rate,average_act_composite,type_of_institution,level_of_institution,average_net_price,number_of_students,gpa_link,latitude,longitude,school_name_clean_key
pima medical institutedillon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pima medical institutedillon
urban barber college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,urban barber college
hillsdale college,"Hillsdale, MI",3.9,1440.0,N/A,N/A,0.21,32,PRIVATE,4 YEAR,22835.0,1678.0,https://www.appily.com/colleges/gpa/4-0,N/A,N/A,hillsdale college
porter and chester institute of waterbury,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,porter and chester institute of waterbury
dorsey collegedearborn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,dorsey collegedearborn
keweenaw bay ojibwa community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,keweenaw bay ojibwa community college
hollywood cultural college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,hollywood cultural college
university of silicon andhra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,university of silicon andhra
marist university,"Poughkeepsie, NY",3.6,1285.0,N/A,N/A,0.63,28,PRIVATE,4 YEAR,38797.0,6464.0,https://www.appily.com/colleges/gpa/3-7,N/A,N/A,marist university
charleston school of law,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,charleston school of law
central georgia technical college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,central georgia technical college
summit salon academyportland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,summit salon academyportland
san joaquin valley collegesanta maria,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,san joaquin valley collegesanta maria
asianamerican international beauty college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,asianamerican international beauty college
pennsylvania state universitypenn state abington,"Abington, PA",3.2,1144.0,N/A,N/A,0.93,24,PUBLIC,4 YEAR,19796.0,3090.0,https://www.appily.com/colleges/gpa/3-3,N/A,N/A,pennsylvania state universitypenn state abington
dalhousie university,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,dalhousie university
seward county community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,seward county community college
washington adventist university,N/A,N/A,N/A,85352.0,48545.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,washington adventist university
middle tennessee school of anesthesia inc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,middle tennessee school of anesthesia inc
the salon professional academysan jose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,the salon professional academysan jose
wood county technical centerpractical nursing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wood county technical centerpractical nursing
salem community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,salem community college
wilfrid laurier university,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wilfrid laurier university
university of wisconsinstout,"Menomonie, WI",3.4,1120.0,48767.74074074074,66540.17647058824,0.86,21,PUBLIC,4 YEAR,14951.0,7234.0,https://www.appily.com/colleges/gpa/3-5,N/A,N/A,university of wisconsinstout
