name,location,average_gpa,average_sat_composite,Average Salary 1yr,Average Salary 5yr,acceptance_rate,average_act_composite,type_of_institution,level_of_institution,average_net_price,number_of_students,gpa_link,latitude,longitude,school_name_clean_key
royal welsh college of music and drama,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,royal welsh college of music and drama
southeastern university,"Lakeland, FL",3.5,1078.0,38891.5,42155.6,0.61,22,PRIVATE,4 YEAR,24909.0,10044.0,https://www.appily.com/colleges/gpa/3-6,N/A,N/A,southeastern university
butler county community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,butler county community college
dewey universityhato rey,N/A,N/A,N/A,20270.0,31529.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,dewey universityhato rey
university of antelope valley,N/A,N/A,N/A,25291.5,42117.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,university of antelope valley
cabrillo college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cabrillo college
tacoma community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tacoma community college
velvatex college of beauty culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,velvatex college of beauty culture
antioch universitysanta barbara,N/A,N/A,N/A,46487.0,48020.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,antioch universitysanta barbara
nysmedicaldental assistants american institute of clinical massage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nysmedicaldental assistants american institute of clinical massage
seguin beauty schoolseguin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,seguin beauty schoolseguin
keser torahmayan hatalmud,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,keser torahmayan hatalmud
veeb nassau county school of practical nursing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,veeb nassau county school of practical nursing
academy of professional cosmetology,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,academy of professional cosmetology
new community career technical institute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new community career technical institute
fortis instituteport saint lucie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fortis instituteport saint lucie
new england tractor trailer training school of massachusetts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new england tractor trailer training school of massachusetts
houston graduate school of theology,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,houston graduate school of theology
chicago theological seminary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,chicago theological seminary
luther rice college seminary,"Lithonia, GA",2.6,N/A,37863.0,45293.0,0.68,--,PRIVATE,4 YEAR,6717.0,581.0,https://www.appily.com/colleges/gpa/2-7,N/A,N/A,luther rice college seminary
eagle gate collegemurray,N/A,N/A,N/A,66420.0,41168.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,eagle gate collegemurray
salon success academyriverside,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,salon success academyriverside
carrington collegeportland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,carrington collegeportland
brandeis university,"Waltham, MA",3.9,1434.0,43601.78947368421,68075.35,0.39,34,PRIVATE,4 YEAR,41222.0,5581.0,https://www.appily.com/colleges/gpa/4-0,N/A,N/A,brandeis university
valley college of medical careers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,valley college of medical careers
berry college,"Mount Berry, GA",3.8,1245.0,42125.142857142855,57288.416666666664,0.66,28,PRIVATE,4 YEAR,24605.0,2360.0,https://www.appily.com/colleges/gpa/4-0,N/A,N/A,berry college
florida center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,florida center
johns hopkins university,"Baltimore, MD",3.9,N/A,52889.07692307692,106371.0,0.07,35,PRIVATE,4 YEAR,N/A,31275.0,https://www.appily.com/colleges/gpa/4-0,N/A,N/A,johns hopkins university
formations institute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,formations institute
cosmetology academy of texarkana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cosmetology academy of texarkana
valencia college,"Orlando, FL",3.2,N/A,66481.5,83373.0,N/A,--,PUBLIC,4 YEAR,4901.0,43370.0,https://www.appily.com/colleges/gpa/3-3,N/A,N/A,valencia college
friends university,"Wichita, KS",3.4,1109.0,40879.22222222222,68643.0,0.63,22,PRIVATE,4 YEAR,20686.0,1724.0,https://www.appily.com/colleges/gpa/3-5,N/A,N/A,friends university
cetsanta maria,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cetsanta maria
william paterson university of new jersey,"Wayne, NJ",3.0,994.0,39930.192307692305,62518.78571428572,0.92,19,PUBLIC,4 YEAR,19547.0,9070.0,https://www.appily.com/colleges/gpa/3-1,N/A,N/A,william paterson university of new jersey
finger lakes health college of nursing health sciences,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,finger lakes health college of nursing health sciences
jones college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,jones college
studio academy of beauty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,studio academy of beauty
new mexico military institute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new mexico military institute
aveda arts sciences institute minneapolis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,aveda arts sciences institute minneapolis
eastern maine community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,eastern maine community college
formations institute of cosmetology barbering,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,formations institute of cosmetology barbering
trinity college,"Hartford, CT",3.8,1383.0,53065.0,101578.5,0.36,31,PRIVATE,4 YEAR,26233.0,2205.0,https://www.appily.com/colleges/gpa/4-0,N/A,N/A,trinity college
butler technology and career development schools,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,butler technology and career development schools
lawrence technological university,"Southfield, MI",3.5,1157.0,73503.6,83083.5,0.82,23,PRIVATE,4 YEAR,33159.0,2966.0,https://www.appily.com/colleges/gpa/3-6,N/A,N/A,lawrence technological university
northwest technical college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,northwest technical college
university of georgia,"Athens, GA",4.0,1347.0,43083.56603773585,66414.73469387754,0.43,31,PUBLIC,4 YEAR,16580.0,40607.0,https://www.appily.com/colleges/gpa/4-0,N/A,N/A,university of georgia
heidelberg university,"Tiffin, OH",3.3,1078.0,39267.5,53170.75,0.71,20,PRIVATE,4 YEAR,22006.0,1086.0,https://www.appily.com/colleges/gpa/3-4,N/A,N/A,heidelberg university
kilgore college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kilgore college
atlanta metropolitan state college,N/A,N/A,N/A,42223.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,atlanta metropolitan state college
cameo college of essential beauty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cameo college of essential beauty
cosmetology training center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cosmetology training center
uta mesivta of kiryas joel,N/A,N/A,N/A,22543.0,30411.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,uta mesivta of kiryas joel
caddo kiowa technology center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caddo kiowa technology center
denver seminary washington dc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,denver seminary washington dc
rush university,N/A,N/A,N/A,75202.0,91753.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rush university
lia schorr institute of cosmetic skin care training,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,lia schorr institute of cosmetic skin care training
university of melbourne,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,university of melbourne
indiana universitynorthwest,"Gary, IN",3.1,1013.0,45550.083333333336,53004.5,0.8,20,PUBLIC,4 YEAR,5453.0,3198.0,https://www.appily.com/colleges/gpa/3-2,N/A,N/A,indiana universitynorthwest
johnson college,"Scranton, PA",3.0,963.0,N/A,N/A,0.96,18,PRIVATE,2 YEAR,19311.0,586.0,https://www.appily.com/colleges/gpa/3-1,N/A,N/A,johnson college
university of cambridge saint johns college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,university of cambridge saint johns college
university for the creative arts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,university for the creative arts
spelman college,"Atlanta, GA",3.9,1167.0,40216.555555555555,57138.0,0.28,24,PRIVATE,4 YEAR,43920.0,3102.0,https://www.appily.com/colleges/gpa/4-0,N/A,N/A,spelman college
trinity health system school of nursing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,trinity health system school of nursing
glendale career collegenorthwest collegebakersfield,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,glendale career collegenorthwest collegebakersfield
alderson broaddus university,N/A,N/A,N/A,44492.0,77698.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,alderson broaddus university
johnson wales universitydenver,N/A,N/A,N/A,34130.25,49550.22222222222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,johnson wales universitydenver
university of maine at presque isle,"Presque Isle, ME",3.0,N/A,41148.5,32341.0,0.97,--,PUBLIC,4 YEAR,10637.0,1847.0,https://www.appily.com/colleges/gpa/3-1,N/A,N/A,university of maine at presque isle
adler graduate school,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,adler graduate school
little priest tribal college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,little priest tribal college
mercyhurst university,"Erie, PA",3.4,N/A,38496.61538461538,57453.166666666664,0.81,--,PRIVATE,4 YEAR,23886.0,2801.0,https://www.appily.com/colleges/gpa/3-5,N/A,N/A,mercyhurst university
universal training institute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,universal training institute
florida institute of technology,"Melbourne, FL",3.5,1264.0,58613.78571428572,77793.6875,0.64,27,PRIVATE,4 YEAR,33313.0,8315.0,https://www.appily.com/colleges/gpa/3-6,N/A,N/A,florida institute of technology
golden gate university,N/A,N/A,N/A,77752.0,98754.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,golden gate university
automeca technical collegeponce,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,automeca technical collegeponce
delta college of arts technology,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,delta college of arts technology
brand college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,brand college
texas tech university health sciences center,N/A,N/A,N/A,55769.75,71997.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,texas tech university health sciences center
minnesota state college southeast,"Winona, MN",2.6,N/A,N/A,N/A,N/A,--,PUBLIC,2 YEAR,13824.0,1923.0,https://www.appily.com/colleges/gpa/2-7,N/A,N/A,minnesota state college southeast
maine maritime academy,"Castine, ME",3.5,1115.0,82862.5,69652.0,0.58,23,PUBLIC,4 YEAR,23239.0,897.0,https://www.appily.com/colleges/gpa/3-6,N/A,N/A,maine maritime academy
edgecombe community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,edgecombe community college
northwest technology centeralva,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,northwest technology centeralva
paul mitchell the schoolsan jose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,paul mitchell the schoolsan jose
grays harbor college,N/A,N/A,N/A,33763.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,grays harbor college
pennsylvania state universityworld campus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pennsylvania state universityworld campus
arrupe college,"Chicago, IL",3.1,N/A,N/A,N/A,0.8,--,PRIVATE,--,2000.0,N/A,https://www.appily.com/colleges/gpa/3-2,N/A,N/A,arrupe college
carlow university,"Pittsburgh, PA",3.6,1072.0,46779.0,54224.375,0.93,21,PRIVATE,4 YEAR,20002.0,2104.0,https://www.appily.com/colleges/gpa/3-7,N/A,N/A,carlow university
new orleans baptist theological seminary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new orleans baptist theological seminary
st peters hospital college of nursing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,st peters hospital college of nursing
maine college of art design,N/A,N/A,N/A,26778.0,35383.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,maine college of art design
eastern oregon university,"La Grande, OR",3.5,1040.0,36857.5,48921.666666666664,0.99,19,PUBLIC,4 YEAR,15436.0,2674.0,https://www.appily.com/colleges/gpa/3-6,N/A,N/A,eastern oregon university
columbia college jefferson city,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,columbia college jefferson city
eastern international collegejersey city,N/A,N/A,N/A,31850.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,eastern international collegejersey city
marietta college,"Marietta, OH",3.6,1134.0,44959.0,N/A,0.83,22,PRIVATE,4 YEAR,20786.0,1198.0,https://www.appily.com/colleges/gpa/3-7,N/A,N/A,marietta college
university of alaska southeast,"Juneau, AK",2.9,N/A,52875.0,62111.5,0.63,--,PUBLIC,4 YEAR,11787.0,1923.0,https://www.appily.com/colleges/gpa/3-0,N/A,N/A,university of alaska southeast
millermotte collegeconway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,millermotte collegeconway
wisconsin lutheran college,"Milwaukee, WI",3.5,1187.0,53730.75,64153.5,0.94,23,PRIVATE,4 YEAR,20899.0,1086.0,https://www.appily.com/colleges/gpa/3-6,N/A,N/A,wisconsin lutheran college
honolulu community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,honolulu community college
salon success academywest covina,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,salon success academywest covina
colorado northwestern community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,colorado northwestern community college
ga beauty barber school,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ga beauty barber school
tennessee college of applied technologyhenrycarroll,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tennessee college of applied technologyhenrycarroll
west kentucky community and technical college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,west kentucky community and technical college
harmony health care institute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,harmony health care institute
delta collegeslidell campus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,delta collegeslidell campus
lehigh valley barber school,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,lehigh valley barber school
los angeles trade technical college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,los angeles trade technical college
university of indianapolis,"Indianapolis, IN",3.5,1096.0,44056.8125,57814.53333333333,0.76,21,PRIVATE,4 YEAR,20512.0,5018.0,https://www.appily.com/colleges/gpa/3-6,N/A,N/A,university of indianapolis
chamberlain universityohio,N/A,N/A,N/A,83188.0,92768.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,chamberlain universityohio
wartburg theological seminary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wartburg theological seminary
john wesley university,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,john wesley university
saint edwards university,"Austin, TX",3.5,1178.0,39846.619047619046,59094.72222222222,0.85,25,PRIVATE,4 YEAR,30072.0,3470.0,https://www.appily.com/colleges/gpa/3-6,N/A,N/A,saint edwards university
sebring career schoolshuntsville,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sebring career schoolshuntsville
union institute university,N/A,N/A,N/A,83991.6,72061.66666666667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,union institute university
washtenaw community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,washtenaw community college
saint martins university,"Lacey, WA",3.5,1070.0,55406.42857142857,67873.4,0.95,20,PRIVATE,4 YEAR,23824.0,1609.0,https://www.appily.com/colleges/gpa/3-6,N/A,N/A,saint martins university
california state university maritime academy,"Vallejo, CA",3.4,N/A,72791.25,99243.5,0.96,--,PUBLIC,4 YEAR,20597.0,849.0,https://www.appily.com/colleges/gpa/3-5,N/A,N/A,california state university maritime academy
st thomas university,"Miami Gardens, FL",3.2,996.0,52322.0,55760.0,0.65,18,PRIVATE,4 YEAR,24436.0,6370.0,https://www.appily.com/colleges/gpa/3-3,N/A,N/A,st thomas university
berkeley city college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,berkeley city college
icohs college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,icohs college
ross medical education centercanton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ross medical education centercanton
mount carmel college of nursing,"Columbus, OH",3.6,1050.0,69969.0,71398.0,0.63,19,PRIVATE,4 YEAR,17650.0,766.0,https://www.appily.com/colleges/gpa/3-7,N/A,N/A,mount carmel college of nursing
southwest school of business and technical careerssan antonio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,southwest school of business and technical careerssan antonio
american college of healthcare and technology,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,american college of healthcare and technology
antelope valley community college district,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,antelope valley community college district
college of our lady of the elms,"Chicopee, MA",3.4,1053.0,47072.0,63200.8,0.85,20,PRIVATE,4 YEAR,17158.0,1373.0,https://www.appily.com/colleges/gpa/3-5,N/A,N/A,college of our lady of the elms
royal academy of music,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,royal academy of music
summit college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,summit college
kingston university london,N/A,3.0,1050.0,N/A,N/A,0.8,23,PRIVATE,4 YEAR,N/A,17547.0,https://www.appily.com/colleges/gpa/3-1,N/A,N/A,kingston university london
presidio graduate school,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,presidio graduate school
spa tech institutewestbrook,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,spa tech institutewestbrook
bay area medical academy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,bay area medical academy
nuc university florida technical college kissimmee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nuc university florida technical college kissimmee
mirrer yeshiva cent institute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mirrer yeshiva cent institute
colorado media school,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,colorado media school
mount allison university,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mount allison university
albright college,"Reading, PA",3.1,1100.0,38075.38461538462,58677.2,0.85,23,PRIVATE,4 YEAR,19553.0,1498.0,https://www.appily.com/colleges/gpa/3-2,N/A,N/A,albright college
clarkson university capital region campus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,clarkson university capital region campus
cem collegebayamon,N/A,N/A,N/A,16742.0,26831.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cem collegebayamon
colbysawyer college,"New London, NH",3.3,N/A,54654.666666666664,59332.77777777778,0.78,--,PRIVATE,4 YEAR,27625.0,943.0,https://www.appily.com/colleges/gpa/3-4,N/A,N/A,colbysawyer college
western technical college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,western technical college
wright state universitymain campus,"Dayton, OH",3.4,1100.0,42050.05714285714,58219.15625,0.95,20,PUBLIC,4 YEAR,14880.0,9678.0,https://www.appily.com/colleges/gpa/3-5,N/A,N/A,wright state universitymain campus
texas barber college branch campus 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,texas barber college branch campus 1
blue cliff collegegulfport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,blue cliff collegegulfport
calvin theological seminary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,calvin theological seminary
elmhurst university,"Elmhurst, IL",3.6,1114.0,43583.61111111111,62242.73684210526,0.76,23,PRIVATE,4 YEAR,22791.0,3731.0,https://www.appily.com/colleges/gpa/3-7,N/A,N/A,elmhurst university
university of south wales,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,university of south wales
oklahoma christian university,"Edmond, OK",3.6,1170.0,47134.5,53393.0,0.96,24,PRIVATE,4 YEAR,21347.0,2537.0,https://www.appily.com/colleges/gpa/3-7,N/A,N/A,oklahoma christian university
dyouville university,"Buffalo, NY",3.3,1133.0,65149.2,73477.42857142857,0.84,22,PRIVATE,4 YEAR,19441.0,2518.0,https://www.appily.com/colleges/gpa/3-4,N/A,N/A,dyouville university
tennessee college of applied technologymurfreesboro,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tennessee college of applied technologymurfreesboro
louisiana delta community college,"Monroe, LA",2.4,N/A,N/A,N/A,N/A,--,PUBLIC,2 YEAR,9484.0,4105.0,https://www.appily.com/colleges/gpa/2-6,N/A,N/A,louisiana delta community college
new beginning college of cosmetology,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new beginning college of cosmetology
eti school of skilled trades,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,eti school of skilled trades
brookline collegetucson,N/A,N/A,N/A,33962.0,39701.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,brookline collegetucson
san joaquin valley collegerancho mirage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,san joaquin valley collegerancho mirage
clinton technical school,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,clinton technical school
connecticut college,"New London, CT",3.8,1397.0,43936.166666666664,68642.4,0.4,33,PRIVATE,4 YEAR,32626.0,1948.0,https://www.appily.com/colleges/gpa/4-0,N/A,N/A,connecticut college
saint meinrad school of theology,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,saint meinrad school of theology
venus beauty academy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,venus beauty academy
bridges beauty college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,bridges beauty college
pomona unified school district adult and career education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pomona unified school district adult and career education
touro university california,N/A,N/A,N/A,100956.0,95304.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,touro university california
empire beauty schoolbuffalo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,empire beauty schoolbuffalo
mount washington college,N/A,N/A,N/A,N/A,51552.666666666664,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mount washington college
central maine community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,central maine community college
university of north carolina at pembroke,"Pembroke, NC",3.5,1013.0,36406.444444444445,52353.73333333333,0.9,18,PUBLIC,4 YEAR,10228.0,7666.0,https://www.appily.com/colleges/gpa/3-6,N/A,N/A,university of north carolina at pembroke
schuyler steuben chemung tioga allegany boces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,schuyler steuben chemung tioga allegany boces
